claim_id,assessor_name,claim_type,notification_channel,complexity_score,prior_claims,days_to_report,settled_amount,days_to_settle,leakage_flag
CL001671,A17,motor,online,2,0,14.2,304.36,28.8,0
CL001672,A10,health,online,2,1,11.4,963.43,42.0,1
CL001673,A10,travel,broker,4,0,4.9,4541.77,31.6,0
CL001674,A16,health,phone,2,1,20.2,479.3,33.7,0
CL001675,A27,health,phone,1,1,6.9,711.76,14.3,0
CL001676,A25,health,phone,4,1,1.1,4266.57,25.8,0
CL001677,A8,property,online,2,2,6.6,1313.59,54.1,1
CL001678,A23,travel,broker,1,2,2.0,1928.84,17.8,0
CL001679,A4,travel,phone,4,3,18.1,1977.28,26.1,0
CL001680,A6,motor,phone,3,0,1.4,3949.54,27.0,0
CL001681,A17,property,phone,2,1,9.1,3073.71,25.7,0
CL001682,A29,health,broker,3,1,12.5,10631.39,47.1,1
CL001683,A7,motor,phone,5,0,5.7,3190.27,27.6,0
CL001684,A1,motor,phone,5,3,10.6,1638.64,54.6,1
CL001685,A26,health,phone,1,0,41.8,8141.27,22.5,0
CL001686,A3,travel,online,1,0,21.3,1157.79,21.7,0
CL001687,A27,property,online,2,0,2.0,2482.81,28.8,0
CL001688,A6,property,broker,1,0,3.2,4324.05,13.6,0
CL001689,A24,motor,online,1,2,7.9,927.37,40.4,1
CL001690,A17,motor,broker,4,4,2.0,5642.29,45.2,1
CL001691,A21,motor,online,3,2,7.2,3039.11,25.5,0
CL001692,A14,motor,phone,3,1,13.7,1320.94,23.3,0
CL001693,A29,property,online,4,1,2.0,4846.93,43.2,1
CL001694,A9,health,broker,3,0,6.2,32154.44,22.0,0
CL001695,A14,motor,broker,1,1,15.3,3274.9,15.3,0
CL001696,A0,motor,phone,5,0,2.9,6332.13,27.9,0
CL001697,A26,motor,phone,2,0,5.3,423.77,38.5,1
CL001698,A10,motor,broker,2,1,18.4,2768.11,58.1,1
CL001699,A24,health,online,4,0,10.6,14699.58,24.2,0
CL001700,A12,health,broker,1,1,8.3,801.79,11.9,0
CL001701,A20,motor,phone,5,0,17.4,2802.65,33.8,0
CL001702,A19,property,phone,1,0,12.1,1482.43,13.3,0
CL001703,A15,motor,online,1,1,4.3,16680.96,36.1,1
CL001704,A22,property,online,1,0,9.1,2570.64,14.1,0
CL001705,A12,health,broker,4,2,30.8,570.83,33.1,0
CL001706,A18,property,online,5,1,5.8,3642.7,27.7,0
CL001707,A21,motor,phone,3,0,3.0,3036.21,20.0,0
CL001708,A15,health,online,5,2,23.3,1269.8,61.0,1
CL001709,A6,motor,online,3,1,28.6,845.33,28.9,0
CL001710,A3,motor,phone,1,0,4.0,5109.57,14.5,0
CL001711,A12,property,online,3,2,5.4,10832.31,19.7,0
CL001712,A25,motor,online,4,0,1.5,2100.62,28.5,0
CL001713,A14,motor,online,4,0,2.6,2535.22,25.3,0
CL001714,A27,property,online,2,0,2.2,917.75,20.2,0
CL001715,A17,motor,broker,4,0,3.4,1797.19,29.5,0
CL001716,A5,property,online,5,0,14.6,1472.15,31.7,0
CL001717,A13,health,phone,2,0,4.3,2922.13,16.7,0
CL001718,A14,motor,online,5,0,13.5,477.28,42.0,0
CL001719,A8,health,phone,3,2,10.8,525.88,30.3,0
CL001720,A21,motor,online,2,2,9.4,1554.6,24.0,0
CL001721,A21,health,online,5,0,8.3,4048.01,28.0,0
CL001722,A2,motor,online,5,2,7.0,4137.03,32.3,0
CL001723,A0,health,online,3,1,12.5,2610.5,27.7,0
CL001724,A20,health,online,2,0,0.7,3686.55,16.8,0
CL001725,A11,motor,phone,5,0,12.9,2336.47,31.2,0
CL001726,A8,motor,broker,3,1,10.6,2924.05,22.1,0
CL001727,A5,health,online,5,1,7.2,12384.04,31.8,0
CL001728,A14,property,online,4,2,14.0,5222.73,36.7,0
CL001729,A3,motor,phone,4,1,1.3,1762.56,40.7,0
CL001730,A16,health,phone,1,0,4.3,1788.36,19.0,0
CL001731,A12,health,phone,1,0,5.6,230.38,14.1,0
CL001732,A29,motor,phone,4,1,1.1,4374.88,27.4,0
CL001733,A5,motor,broker,5,0,11.2,6891.3,29.7,0
CL001734,A16,health,online,3,0,5.8,1671.27,21.9,0
CL001735,A25,travel,broker,3,1,13.6,2620.16,22.0,0
CL001736,A11,travel,phone,3,1,6.0,4176.48,23.1,0
CL001737,A12,property,online,4,1,10.9,1724.02,34.6,0
CL001738,A1,property,phone,4,1,1.4,5009.14,53.3,1
CL001739,A0,health,phone,4,1,13.9,4054.24,28.8,0
CL001740,A3,motor,phone,4,1,11.9,5267.63,25.3,0
CL001741,A13,property,phone,5,1,3.5,5546.69,46.9,1
CL001742,A4,motor,online,4,0,3.5,4615.89,28.5,0
CL001743,A19,motor,online,2,1,14.8,932.02,45.6,0
CL001744,A3,motor,phone,3,0,3.3,3572.6,23.2,0
CL001745,A4,health,online,5,2,10.6,3041.18,51.5,1
CL001746,A10,motor,phone,4,0,9.7,737.07,25.2,0
CL001747,A27,motor,broker,1,2,9.8,4774.03,16.8,0
CL001748,A17,health,online,4,0,7.5,1084.32,37.5,0
CL001749,A16,motor,phone,1,1,20.7,3547.21,39.2,1
CL001750,A2,motor,online,3,1,3.4,5718.7,18.8,0
CL001751,A17,motor,online,5,0,9.6,1541.32,44.6,0
CL001752,A2,travel,online,3,1,9.5,1787.51,38.0,0
CL001753,A10,property,online,5,1,29.9,684.57,37.9,0
CL001754,A10,health,online,4,1,5.6,6626.54,24.4,0
CL001755,A16,property,phone,3,2,4.1,4180.94,40.9,1
CL001756,A25,travel,online,2,1,11.3,740.28,18.9,0
CL001757,A5,property,online,1,3,5.2,5921.49,14.8,0
CL001758,A11,health,online,2,0,11.1,1375.34,18.4,0
CL001759,A12,property,phone,3,1,11.5,13910.48,36.3,0
CL001760,A4,motor,phone,3,0,13.9,830.66,30.0,0
CL001761,A25,motor,phone,4,1,26.4,15058.29,51.5,1
CL001762,A5,motor,online,2,0,5.3,1451.11,19.0,0
CL001763,A17,travel,phone,3,0,10.0,1845.11,31.5,0
CL001764,A23,motor,online,3,4,8.8,10062.48,22.7,0
CL001765,A20,property,broker,2,1,8.3,1536.1,25.5,0
CL001766,A2,motor,online,1,1,21.3,1874.55,36.7,1
CL001767,A13,motor,phone,3,0,13.6,2951.82,44.7,1
CL001768,A4,motor,phone,3,1,0.8,11515.94,22.7,0
CL001769,A7,property,online,3,0,32.7,912.77,27.6,0
CL001770,A18,motor,phone,2,0,0.4,443.79,17.9,0
CL001771,A19,motor,online,3,3,0.9,3057.45,41.1,1
CL001772,A29,health,phone,3,2,4.1,480.86,22.9,0
CL001773,A16,motor,online,3,0,6.8,560.9,20.3,0
CL001774,A23,motor,online,5,0,6.0,5648.23,41.5,0
CL001775,A23,motor,phone,4,0,6.3,3048.06,33.8,0
CL001776,A10,motor,online,1,1,3.6,1161.72,14.2,0
CL001777,A0,property,phone,5,0,10.7,2866.08,28.8,0
CL001778,A11,motor,phone,5,0,4.8,2687.14,32.6,0
CL001779,A28,health,online,2,1,5.3,714.97,19.7,0
CL001780,A10,property,phone,5,2,12.7,11002.77,30.9,0
CL001781,A27,health,broker,2,0,7.4,351.95,22.3,0
CL001782,A21,property,broker,1,0,4.4,1511.16,13.9,0
CL001783,A4,health,phone,5,0,18.9,3719.99,51.3,1
CL001784,A5,property,online,1,2,0.5,1439.96,11.5,0
CL001785,A0,property,online,5,0,12.9,1739.02,30.0,0
CL001786,A4,property,phone,1,1,2.1,797.81,9.6,0
CL001787,A15,travel,online,4,0,2.1,1486.57,24.1,0
CL001788,A17,travel,broker,4,0,9.2,1160.88,32.6,0
CL001789,A17,motor,phone,5,1,14.7,2526.21,32.4,0
CL001790,A19,property,online,5,0,2.9,954.3,29.9,0
CL001791,A18,property,phone,2,0,0.4,4161.31,22.7,0
CL001792,A15,property,phone,1,2,0.7,2363.37,13.2,0
CL001793,A23,motor,phone,4,1,14.7,16628.29,30.7,0
CL001794,A1,motor,online,5,0,2.7,1006.62,26.5,0
CL001795,A16,health,online,3,1,4.2,348.01,32.3,0
CL001796,A22,property,phone,2,1,9.8,581.92,22.4,0
CL001797,A29,health,online,3,0,0.7,2921.23,38.3,1
CL001798,A14,health,online,4,3,20.0,1068.25,29.3,0
CL001799,A9,motor,online,4,3,0.7,936.15,36.2,0
CL001800,A24,motor,phone,5,0,5.4,4153.18,32.2,0
CL001801,A28,health,phone,2,2,8.7,28442.0,19.2,0
CL001802,A22,motor,phone,2,1,7.0,1464.8,26.9,0
CL001803,A12,property,phone,3,2,8.2,5626.22,49.2,1
CL001804,A23,motor,online,4,0,11.8,1170.48,29.9,0
CL001805,A26,property,phone,5,0,6.7,919.84,50.7,1
CL001806,A11,property,broker,1,0,1.3,1501.98,14.4,0
CL001807,A25,motor,broker,1,1,3.3,991.46,24.7,0
CL001808,A14,travel,phone,2,3,4.8,4379.19,18.4,0
CL001809,A7,motor,phone,1,0,0.5,1118.14,12.8,0
CL001810,A5,property,phone,1,0,10.3,2034.53,17.6,0
CL001811,A25,motor,broker,1,0,3.4,732.03,22.1,0
CL001812,A11,motor,online,4,1,6.4,1677.64,26.2,0
CL001813,A20,property,online,5,0,16.4,6240.82,30.1,0
CL001814,A27,travel,online,4,1,6.4,6673.13,27.7,0
CL001815,A14,health,online,3,0,32.7,1583.03,30.2,0
CL001816,A13,motor,phone,5,0,4.5,1651.94,50.7,1
CL001817,A24,motor,online,3,0,2.6,1897.57,22.7,0
CL001818,A23,property,broker,4,1,3.4,4616.72,31.7,0
CL001819,A6,motor,broker,1,2,4.4,172.77,31.9,1
CL001820,A21,property,online,5,0,2.6,1566.02,30.4,0
CL001821,A11,property,broker,2,0,2.6,1660.62,21.5,0
CL001822,A27,motor,online,1,1,8.0,6716.97,37.6,1
CL001823,A0,health,online,5,3,8.7,3269.44,36.8,0
CL001824,A23,motor,online,3,1,4.2,201.33,26.2,0
CL001825,A24,motor,broker,1,1,3.1,10373.03,13.7,0
CL001826,A14,motor,online,4,0,5.2,709.21,24.5,0
CL001827,A6,motor,phone,2,0,5.9,1616.76,17.6,0
CL001828,A4,health,online,5,1,0.2,3643.33,26.3,0
CL001829,A26,motor,online,1,0,7.0,1887.81,20.4,0
CL001830,A18,motor,online,2,1,9.4,400.64,18.7,0
CL001831,A12,property,broker,3,0,13.9,460.56,29.2,0
CL001832,A8,health,online,3,2,10.9,8860.87,49.3,1
CL001833,A4,motor,online,2,0,24.0,1232.16,35.7,0
CL001834,A12,motor,online,4,1,9.4,1162.7,49.8,1
CL001835,A0,property,phone,2,1,3.4,1213.03,16.4,0
CL001836,A4,property,online,5,2,13.3,7070.77,49.7,1
CL001837,A10,motor,online,2,2,8.4,962.19,24.5,0
CL001838,A19,health,online,4,0,14.1,1391.56,31.9,0
CL001839,A27,health,phone,1,0,5.2,923.9,15.9,0
CL001840,A6,health,online,4,0,0.2,1785.15,25.3,0
CL001841,A24,property,phone,3,0,12.1,3924.11,49.8,1
CL001842,A27,property,online,5,1,10.6,2341.59,50.6,1
CL001843,A6,property,phone,4,3,10.6,560.72,39.2,0
CL001844,A3,travel,online,2,2,7.9,1781.38,24.0,0
CL001845,A16,motor,phone,2,2,2.6,1702.66,15.5,0
CL001846,A25,health,phone,2,2,1.7,624.32,14.3,0
CL001847,A29,motor,online,2,1,9.4,3153.17,19.8,0
CL001848,A3,property,online,1,0,8.9,431.61,14.5,0
CL001849,A15,property,phone,4,0,8.0,4947.83,30.5,0
CL001850,A20,motor,online,3,2,9.6,233.42,21.6,0
CL001851,A9,motor,online,2,0,20.5,16131.25,19.6,0
CL001852,A22,property,online,5,1,20.4,9456.35,52.6,1
CL001853,A14,motor,phone,1,2,5.7,775.83,10.9,0
CL001854,A14,motor,phone,4,0,3.4,2145.95,47.1,1
CL001855,A7,property,phone,4,2,1.8,2158.26,27.3,0
CL001856,A24,motor,broker,3,0,13.4,3563.81,27.4,0
CL001857,A21,motor,online,2,0,5.7,1675.24,18.3,0
CL001858,A17,health,online,1,2,9.5,4791.09,37.0,1
CL001859,A15,health,online,3,3,16.0,3523.98,26.0,0
CL001860,A16,health,broker,4,0,13.9,403.74,40.2,0
CL001861,A16,health,phone,5,0,6.8,2252.31,31.3,0
CL001862,A23,motor,broker,3,1,4.6,4572.64,20.1,0
CL001863,A20,health,phone,2,0,15.6,1672.53,19.1,0
CL001864,A10,motor,online,5,0,2.4,6197.93,26.0,0
CL001865,A8,motor,online,4,3,7.3,2699.04,26.8,0
CL001866,A22,motor,phone,1,1,7.3,549.55,14.3,0
CL001867,A19,motor,broker,5,1,17.9,6737.14,37.3,0
CL001868,A15,motor,phone,1,1,3.0,170.33,11.0,0
CL001869,A24,travel,online,1,0,5.0,4660.47,14.8,0
CL001870,A28,property,online,4,1,0.0,1441.9,21.6,0
CL001871,A21,travel,phone,3,1,8.7,1459.46,27.2,0
CL001872,A3,motor,broker,3,1,5.1,7584.87,28.0,0
CL001873,A3,motor,broker,2,0,1.1,2996.64,28.6,0
CL001874,A11,motor,online,1,0,12.5,5156.6,20.9,0
CL001875,A28,health,phone,5,1,10.9,9481.82,62.6,1
CL001876,A20,health,phone,2,0,24.2,3196.57,24.4,0
CL001877,A7,property,broker,1,0,13.3,2355.91,16.0,0
CL001878,A19,health,phone,2,1,9.1,2215.39,21.9,0
CL001879,A25,health,online,5,2,12.6,1197.44,60.7,1
CL001880,A26,health,phone,5,1,3.4,1370.69,28.7,0
CL001881,A22,property,online,5,0,0.7,1925.82,28.1,0
CL001882,A19,health,phone,1,1,11.3,6118.66,38.7,1
CL001883,A25,health,online,4,2,7.8,1065.37,45.9,1
CL001884,A1,health,broker,4,0,2.9,2745.43,27.4,0
CL001885,A23,motor,broker,2,1,2.9,1779.43,36.0,1
CL001886,A22,motor,phone,3,2,10.1,4672.71,27.1,0
CL001887,A0,property,phone,2,0,12.1,1833.74,21.7,0
CL001888,A24,motor,online,5,0,13.2,7060.75,42.8,0
CL001889,A9,health,online,1,0,2.3,7856.0,16.9,0
CL001890,A11,travel,phone,5,1,4.1,5219.91,49.3,1
CL001891,A26,motor,online,2,0,9.7,1863.55,18.7,0
CL001892,A19,travel,online,3,3,2.2,304.04,19.1,0
CL001893,A20,motor,phone,2,1,13.4,2534.07,25.1,0
CL001894,A29,motor,phone,5,0,5.3,3357.08,47.3,1
CL001895,A19,health,online,4,2,24.1,1291.29,35.8,0
CL001896,A10,motor,broker,2,0,4.9,609.15,22.6,0
CL001897,A29,motor,online,3,1,2.1,9209.49,55.6,1
CL001898,A6,motor,phone,5,1,6.1,1824.55,28.4,0
CL001899,A7,property,online,5,1,7.3,1201.94,27.5,0
CL001900,A12,motor,phone,2,0,13.7,4557.45,22.2,0
CL001901,A11,health,online,4,2,13.7,1041.43,30.7,0
CL001902,A14,motor,online,2,0,0.4,33270.75,17.9,0
CL001903,A27,property,phone,4,1,2.1,6324.14,24.7,0
CL001904,A8,motor,online,1,1,2.1,444.47,31.3,1
CL001905,A27,health,online,2,1,15.0,777.96,24.2,0
CL001906,A16,motor,phone,2,2,3.1,2083.13,17.7,0
CL001907,A22,travel,online,2,0,1.4,272.32,18.7,0
CL001908,A11,property,online,5,3,5.4,3137.88,30.2,0
CL001909,A17,health,broker,3,0,13.0,2322.45,23.9,0
CL001910,A12,property,online,4,1,5.8,4347.09,26.9,0
CL001911,A11,motor,online,4,0,17.0,590.55,32.5,0
CL001912,A22,motor,online,5,1,1.6,1779.05,26.1,0
CL001913,A9,property,online,2,0,8.4,14060.82,20.5,0
CL001914,A20,motor,online,2,0,7.5,387.06,15.8,0
CL001915,A9,property,phone,4,1,10.2,15052.62,24.0,0
CL001916,A20,health,phone,4,0,29.4,1353.62,33.5,0
CL001917,A5,property,online,2,1,15.0,982.95,25.3,0
CL001918,A18,property,online,1,1,31.2,1655.11,38.7,1
CL001919,A3,motor,phone,2,0,9.1,1023.21,41.1,1
CL001920,A9,health,phone,2,1,22.8,896.19,43.9,1
CL001921,A18,motor,broker,5,1,9.8,4166.17,50.1,1
CL001922,A17,property,phone,5,1,6.0,4776.94,27.6,0
CL001923,A8,motor,broker,1,1,3.2,4344.31,17.0,0
CL001924,A5,motor,phone,3,0,10.1,729.76,25.5,0
CL001925,A18,property,broker,3,0,8.3,2841.0,29.6,0
CL001926,A24,motor,online,3,1,9.6,2259.18,23.0,0
CL001927,A28,property,online,2,1,19.2,4057.09,22.9,0
CL001928,A17,motor,online,5,0,1.9,657.35,30.3,0
CL001929,A20,property,broker,1,0,1.7,903.26,13.8,0
CL001930,A2,property,phone,1,0,2.9,1281.1,20.9,0
CL001931,A8,health,online,5,0,8.8,1147.44,30.5,0
CL001932,A11,motor,online,2,2,14.6,275.89,20.8,0
CL001933,A17,property,online,5,0,0.7,7318.9,27.1,0
CL001934,A13,motor,online,5,0,8.4,12122.14,30.1,0
CL001935,A25,health,broker,4,1,4.3,2145.1,25.8,0
CL001936,A24,health,online,5,0,5.3,2701.88,35.4,0
CL001937,A29,motor,online,5,0,12.2,11034.77,34.0,0
CL001938,A24,health,phone,4,1,13.5,2483.89,27.3,0
CL001939,A4,travel,online,1,0,13.1,1038.73,12.4,0
CL001940,A3,health,broker,1,0,9.5,3688.28,41.2,1
CL001941,A15,property,phone,1,0,17.6,1165.12,22.8,0
CL001942,A4,health,broker,4,1,17.1,2163.75,49.1,1
CL001943,A11,motor,phone,5,0,10.3,3470.26,29.4,0
CL001944,A3,health,phone,2,1,12.1,3542.82,18.9,0
CL001945,A9,property,broker,5,0,3.0,3308.54,30.6,0
CL001946,A2,travel,online,1,4,4.0,6346.33,16.7,0
CL001947,A16,health,phone,5,2,14.1,2332.73,40.1,0
CL001948,A23,motor,phone,5,0,1.5,4452.06,29.1,0
CL001949,A16,travel,phone,2,0,15.4,3006.07,20.1,0
CL001950,A6,motor,broker,2,0,1.7,3871.02,25.7,0
CL001951,A12,travel,phone,5,3,0.4,4508.82,48.4,1
CL001952,A11,travel,phone,2,1,12.4,3331.34,19.7,0
CL001953,A13,motor,phone,1,0,16.1,1598.0,22.9,0
CL001954,A18,motor,online,1,0,3.0,4000.02,23.2,0
CL001955,A26,motor,online,4,0,0.7,3691.42,25.4,0
CL001956,A8,travel,phone,3,1,10.0,789.88,23.0,0
CL001957,A15,motor,online,2,0,14.6,4632.4,33.5,0
CL001958,A8,property,online,2,2,4.1,141.14,30.2,0
CL001959,A28,health,phone,1,2,4.6,347.92,11.8,0
CL001960,A27,property,online,2,1,2.4,3423.48,16.7,0
CL001961,A9,travel,phone,1,1,3.5,4699.61,12.8,0
CL001962,A26,motor,online,1,0,4.6,8283.15,19.5,0
CL001963,A6,motor,online,1,0,10.6,3122.97,16.6,0
CL001964,A15,property,broker,1,1,7.2,1326.42,21.4,0
CL001965,A12,property,online,2,3,6.2,625.41,16.1,0
CL001966,A14,health,broker,2,0,12.3,6075.64,17.7,0
CL001967,A26,property,broker,4,1,14.0,1536.02,48.2,1
CL001968,A25,motor,phone,4,0,23.6,12466.52,36.9,0
CL001969,A14,motor,phone,5,0,9.9,2349.86,40.9,0
CL001970,A6,property,online,5,0,2.6,6443.38,37.6,0
CL001971,A28,property,online,3,0,21.9,1657.25,48.0,1
CL001972,A9,health,online,3,1,9.5,572.85,23.7,0
CL001973,A4,property,online,2,2,6.4,1429.19,24.8,0
CL001974,A19,health,phone,5,1,3.7,1529.96,31.1,0
CL001975,A9,property,online,4,4,4.5,1053.75,23.7,0
CL001976,A3,motor,phone,2,0,7.2,297.37,21.7,0
CL001977,A9,health,online,2,0,6.6,1615.19,16.8,0
CL001978,A26,health,online,4,0,9.0,4484.31,26.5,0
CL001979,A1,motor,broker,1,0,17.9,4196.14,18.0,0
CL001980,A11,health,phone,2,1,7.2,222.29,20.0,0
CL001981,A21,motor,online,3,0,12.5,1197.87,21.9,0
CL001982,A15,property,online,1,2,10.5,1478.08,18.1,0
CL001983,A15,motor,online,3,0,31.4,3910.43,28.8,0
CL001984,A10,motor,phone,3,0,2.5,1201.57,26.7,0
CL001985,A0,property,broker,3,0,8.5,8234.85,21.5,0
CL001986,A28,motor,online,5,0,4.3,2549.5,27.4,0
CL001987,A27,motor,online,3,1,15.6,12282.78,25.2,0
CL001988,A28,health,broker,5,3,8.5,10036.63,53.9,1
CL001989,A9,property,phone,3,1,8.1,2761.53,28.9,0
CL001990,A8,property,online,5,1,8.1,1490.65,31.9,0
CL001991,A28,health,online,1,0,23.7,1313.03,20.0,0
CL001992,A4,property,phone,4,2,1.1,3166.1,39.2,0
CL001993,A0,motor,online,1,0,8.2,316.49,14.9,0
CL001994,A22,health,online,1,1,2.3,315.28,20.5,0
CL001995,A12,property,phone,4,1,14.6,2468.1,27.9,0
CL001996,A26,motor,phone,1,1,0.8,3712.81,10.4,0
CL001997,A4,property,broker,1,2,14.6,2634.55,15.6,0
CL001998,A16,health,online,2,1,5.3,953.57,18.6,0
CL001999,A24,property,phone,4,1,6.9,1074.34,28.0,0
CL002000,A29,motor,online,3,0,3.1,5136.58,20.2,0
CL002001,A2,motor,online,5,1,12.2,2499.49,31.9,0
CL002002,A19,travel,phone,1,1,2.8,7325.93,11.7,0
CL002003,A18,motor,online,2,1,18.8,972.55,23.1,0
CL002004,A16,motor,online,3,1,4.9,1517.43,21.6,0
CL002005,A4,travel,online,5,0,2.2,4498.63,30.0,0
CL002006,A5,motor,online,2,1,2.8,402.44,16.6,0
CL002007,A13,motor,online,5,1,7.0,10538.48,47.1,1
CL002008,A22,property,broker,4,1,6.4,4534.04,33.2,0
CL002009,A17,motor,online,4,1,7.9,1754.05,27.8,0
CL002010,A14,motor,broker,5,1,12.0,2940.97,45.6,0
CL002011,A22,motor,phone,4,1,0.6,1820.46,25.1,0
CL002012,A16,motor,online,4,0,3.0,1830.84,23.1,0
CL002013,A6,motor,phone,3,0,32.1,3703.16,53.3,0
CL002014,A20,property,broker,2,3,22.9,1503.99,27.7,0
CL002015,A2,property,phone,3,1,4.2,938.52,28.0,0
CL002016,A6,property,online,5,0,7.8,2129.11,49.0,1
CL002017,A16,motor,phone,2,0,4.3,4679.01,25.2,0
CL002018,A27,property,phone,1,0,10.7,3582.43,38.0,1
CL002019,A15,motor,online,4,1,11.6,822.32,27.1,0
CL002020,A3,health,phone,2,0,21.4,9421.74,42.5,1
CL002021,A15,motor,phone,2,0,19.1,1411.98,23.5,0
CL002022,A8,travel,phone,4,0,4.8,2816.71,30.3,0
CL002023,A25,travel,phone,1,0,19.3,2133.93,14.5,0
CL002024,A16,health,online,3,0,27.4,911.04,26.6,0
CL002025,A16,motor,online,3,1,2.9,3618.64,31.5,0
CL002026,A14,property,online,2,0,9.1,658.01,18.1,0
CL002027,A15,health,broker,3,0,2.4,3950.64,26.4,0
CL002028,A27,health,online,4,1,4.6,1336.59,24.0,0
CL002029,A4,health,online,2,0,3.8,870.76,23.3,0
CL002030,A1,health,online,5,1,3.9,1523.57,29.9,0
CL002031,A1,health,online,3,0,4.3,2504.77,24.5,0
CL002032,A28,health,online,5,0,5.3,6642.33,50.1,1
CL002033,A19,motor,phone,1,3,4.4,432.46,17.8,0
CL002034,A3,property,broker,4,1,11.7,2718.55,26.4,0
CL002035,A21,property,broker,2,0,8.9,1768.71,20.3,0
CL002036,A18,motor,online,1,1,6.6,8250.93,13.5,0
CL002037,A22,health,online,3,1,12.6,2539.2,25.0,0
CL002038,A18,travel,online,2,0,10.4,483.7,26.0,0
CL002039,A2,travel,phone,5,1,7.0,6214.36,33.2,0
CL002040,A14,health,phone,3,2,12.4,164.15,57.4,1
CL002041,A3,property,phone,2,0,10.2,2332.71,21.4,0
CL002042,A27,health,online,3,0,9.7,2652.55,24.4,0
CL002043,A4,motor,online,5,1,5.9,1529.93,33.6,0
CL002044,A29,health,phone,2,2,9.8,1305.67,22.4,0
CL002045,A17,motor,online,3,0,7.5,4375.23,23.2,0
CL002046,A23,motor,online,2,0,8.7,1392.21,22.4,0
CL002047,A16,travel,online,3,2,18.5,1156.76,29.6,0
CL002048,A5,property,phone,4,0,1.5,9892.61,49.5,1
CL002049,A20,motor,online,2,1,8.8,616.96,26.0,0
CL002050,A27,motor,phone,4,1,11.9,2189.95,25.2,0
CL002051,A14,property,online,2,1,0.8,4604.98,39.1,1
CL002052,A3,travel,phone,1,1,4.1,3449.08,19.0,0
CL002053,A20,motor,online,2,0,15.1,848.59,23.4,0
CL002054,A28,motor,online,2,0,0.5,7791.54,13.5,0
CL002055,A7,motor,phone,2,1,3.6,3358.78,17.3,0
CL002056,A10,property,phone,1,1,20.5,7792.61,36.7,1
CL002057,A9,motor,online,3,0,20.6,3040.36,27.9,0
CL002058,A24,motor,broker,3,0,9.2,1711.5,41.2,1
CL002059,A19,motor,phone,2,1,18.8,1197.42,20.1,0
CL002060,A20,motor,online,2,1,1.4,2449.04,21.4,0
CL002061,A11,property,broker,3,1,4.2,2349.16,25.2,0
CL002062,A10,motor,phone,4,0,17.3,10372.7,31.8,0
CL002063,A25,health,phone,5,0,3.3,7879.13,50.1,1
CL002064,A28,travel,broker,3,1,2.8,16719.8,26.8,0
CL002065,A8,motor,online,2,0,1.4,2165.85,20.7,0
CL002066,A0,motor,phone,5,2,3.1,1146.92,33.2,0
CL002067,A27,travel,phone,4,0,2.9,3164.98,23.1,0
CL002068,A12,health,broker,5,0,2.1,1043.2,46.8,0
CL002069,A7,motor,online,3,0,8.8,874.4,61.0,1
CL002070,A17,motor,online,2,1,0.2,2189.37,17.6,0
CL002071,A16,health,phone,2,0,17.2,612.08,19.1,0
CL002072,A28,motor,phone,1,0,11.8,704.89,18.9,0
CL002073,A14,motor,online,4,1,17.9,6131.61,30.9,0
CL002074,A8,motor,phone,4,1,12.9,12245.48,27.6,0
CL002075,A0,property,phone,5,0,4.4,5953.78,31.7,0
CL002076,A7,property,online,1,2,1.1,1398.21,15.7,0
CL002077,A4,health,online,2,1,8.2,2816.22,23.8,0
CL002078,A10,motor,online,1,0,13.6,2314.48,15.2,0
CL002079,A27,property,online,3,0,5.8,8132.38,25.9,0
CL002080,A6,motor,phone,4,1,15.9,8945.91,29.0,0
CL002081,A23,health,phone,2,0,7.9,6634.13,17.7,0
CL002082,A28,property,online,4,0,5.4,731.38,26.5,0
CL002083,A15,motor,phone,1,0,6.9,4822.04,34.3,1
CL002084,A17,health,online,3,0,16.8,1925.33,24.6,0
CL002085,A21,property,phone,4,1,16.4,3838.86,29.4,0
CL002086,A23,motor,broker,1,0,6.2,2763.51,17.2,0
CL002087,A27,motor,online,2,2,3.3,3837.27,14.8,0
CL002088,A11,travel,online,4,1,5.9,2644.7,25.5,0
CL002089,A15,motor,phone,4,2,9.6,6299.92,28.9,0
CL002090,A0,health,broker,4,0,12.4,3142.24,26.9,0
CL002091,A22,travel,phone,5,0,9.5,1083.95,32.5,0
CL002092,A9,health,phone,2,0,6.0,5509.35,26.2,0
CL002093,A28,motor,broker,5,0,3.7,29737.39,28.4,0
CL002094,A6,property,phone,1,0,5.3,296.93,18.7,0
CL002095,A9,health,broker,5,2,6.5,2702.44,55.3,1
CL002096,A7,travel,broker,1,0,2.5,211.56,21.2,0
CL002097,A16,travel,online,4,0,15.7,1160.59,64.9,1
CL002098,A10,motor,online,3,0,17.4,2606.67,25.4,0
CL002099,A2,health,phone,5,0,1.8,1090.75,30.8,0
CL002100,A28,travel,online,3,1,4.7,1862.26,19.6,0
CL002101,A10,travel,broker,4,2,20.1,692.97,49.9,1
CL002102,A5,property,phone,2,0,10.2,831.43,24.8,0
CL002103,A14,property,online,5,1,9.7,1520.35,33.0,0
CL002104,A8,motor,phone,4,2,7.9,3905.33,48.3,1
CL002105,A24,motor,online,3,0,4.0,2336.0,21.6,0
CL002106,A12,travel,online,1,1,5.5,782.0,12.6,0
CL002107,A20,motor,online,2,0,13.3,2757.2,26.7,0
